,MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,MOPLHOOG,MOPLMIDD,MOPLLAAG,MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,MSKA,MSKB1,MSKB2,MSKC,MSKD,MHHUUR,MHKOOP,MAUT1,MAUT2,MAUT0,MZFONDS,MZPART,MINKM30,MINK3045,MINK4575,MINK7512,MINK123M,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,Purchase
2326,35,1,2,3,8,0,7,0,2,4,0,5,5,1,3,1,2,7,0,0,0,2,3,5,0,0,3,6,0,3,6,5,0,4,8,1,5,2,3,0,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2327,11,1,2,4,3,1,5,1,3,6,0,3,4,3,3,1,3,5,2,1,0,3,3,2,1,1,2,5,2,5,4,6,0,3,6,3,3,3,2,1,0,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2328,39,1,3,3,9,0,7,0,2,6,0,3,3,2,5,2,2,6,3,0,0,1,0,6,2,2,1,2,5,1,8,5,1,3,7,2,5,4,0,0,0,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2329,24,1,3,2,5,1,3,2,5,6,1,2,1,2,7,1,2,7,0,0,0,2,4,3,0,1,1,5,3,8,1,3,2,5,8,1,3,5,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2330,34,1,3,3,8,1,4,1,4,7,1,2,1,5,4,0,1,8,5,0,0,2,0,2,1,1,5,4,0,2,7,6,2,1,5,4,1,4,5,1,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2331,41,1,3,3,10,0,3,0,6,7,0,2,1,3,6,2,5,2,2,0,1,3,4,0,2,2,1,5,0,1,8,6,3,0,5,4,3,1,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2332,9,1,2,2,3,0,4,2,4,4,2,5,5,2,3,2,5,3,2,0,0,5,0,3,2,2,4,2,0,5,4,5,2,4,5,4,0,3,2,5,0,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2333,39,1,2,4,9,0,4,1,5,3,1,6,3,2,4,0,1,8,1,0,0,1,0,7,0,0,2,2,5,8,1,4,2,4,7,2,7,2,0,0,0,2,5,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2334,31,1,3,3,7,1,4,1,5,6,2,2,3,2,5,1,2,7,1,0,0,2,4,3,1,1,1,4,4,7,2,6,1,2,8,1,4,4,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2335,35,1,2,3,8,0,4,0,5,5,2,3,2,3,4,3,3,3,7,0,0,2,0,1,4,3,2,2,1,3,6,5,2,3,6,3,3,2,4,2,0,5,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No
2336,39,2,5,2,9,1,5,0,3,7,1,2,0,0,9,0,4,5,0,0,0,6,3,0,0,4,0,5,0,2,7,6,2,2,6,3,0,4,5,0,0,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2337,31,1,3,3,7,2,2,0,5,6,1,3,3,1,6,0,1,8,3,0,1,0,2,4,0,0,2,3,4,6,3,6,0,3,9,0,3,6,0,0,0,2,1,2,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2338,34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2339,36,1,3,3,8,1,4,1,4,6,1,2,2,3,5,2,4,3,3,1,1,3,2,2,3,2,2,3,0,4,5,6,2,1,4,5,2,2,4,1,1,5,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2340,8,1,3,3,2,1,5,1,3,7,1,2,0,2,7,5,3,2,3,1,0,4,2,1,4,3,2,2,1,1,8,7,0,2,5,4,1,2,4,3,1,6,7,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
2341,1,1,4,2,1,3,3,3,2,7,0,2,0,0,9,3,6,0,3,0,0,3,0,3,2,0,5,2,0,0,9,6,3,0,3,6,3,4,0,3,0,4,8,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,No
2342,39,1,3,3,9,1,4,2,3,5,2,3,2,3,6,2,4,4,2,1,1,3,2,2,1,1,5,2,1,1,8,6,2,2,6,3,2,4,3,1,0,3,5,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,No
2343,33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,No
2344,34,1,4,2,8,0,5,0,4,9,0,0,0,0,9,0,4,5,0,2,0,0,7,0,2,0,0,7,0,7,2,4,5,0,7,2,4,2,2,2,0,4,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2345,39,1,4,2,9,0,5,1,4,7,1,2,1,1,8,0,1,8,1,0,0,2,4,4,1,1,1,5,4,8,1,6,1,2,9,0,2,6,2,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2346,39,1,4,3,9,0,7,2,0,9,0,0,0,0,9,0,2,7,0,0,0,2,2,6,0,2,0,7,0,7,2,7,2,0,9,0,0,7,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
2347,11,1,2,3,3,1,5,1,3,5,1,4,3,3,4,2,2,6,1,1,1,2,4,2,1,1,2,5,1,4,5,6,1,2,7,2,3,5,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2348,23,1,2,2,5,0,6,2,2,4,2,4,4,3,2,2,5,2,2,0,0,3,3,3,2,3,3,3,0,8,1,4,3,3,7,2,3,4,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,No
2349,39,1,2,3,9,2,4,2,3,5,2,3,2,4,3,1,3,5,1,1,0,3,3,2,2,2,2,5,1,6,3,7,1,2,7,2,3,4,3,1,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2350,3,1,2,4,1,0,5,0,4,5,0,4,3,4,3,2,5,3,4,2,0,2,0,3,5,0,2,2,0,4,5,7,0,2,7,2,0,4,5,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2351,33,1,2,4,8,0,6,0,3,6,0,3,3,1,6,0,1,8,0,2,1,0,6,0,1,0,2,7,0,3,6,5,2,3,8,1,8,1,1,0,0,2,3,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2352,33,1,3,3,8,1,4,2,3,7,1,2,2,3,4,1,3,5,1,1,1,2,3,3,2,2,2,4,1,4,5,6,2,2,7,2,1,4,4,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No
2353,40,1,2,4,10,2,7,0,0,6,0,3,3,3,4,2,3,4,2,1,6,1,0,0,2,2,6,0,0,0,9,6,3,0,5,4,6,1,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2354,35,1,2,4,8,0,2,0,7,6,0,3,5,3,2,3,4,2,7,0,0,0,2,0,4,0,4,1,0,0,9,9,0,0,2,7,2,2,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Yes
2355,26,1,1,5,6,0,3,1,5,5,2,3,9,0,0,0,2,7,5,0,0,0,0,5,0,2,3,0,5,5,4,6,1,2,8,1,7,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2356,30,2,2,4,7,0,6,1,3,6,1,3,4,3,3,0,1,8,0,0,1,2,4,3,0,1,1,5,3,7,2,5,1,3,8,1,5,2,3,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2357,3,1,5,3,1,1,5,2,3,5,1,4,0,4,5,0,9,0,4,2,0,2,1,1,0,4,0,5,0,0,9,5,1,3,5,4,3,2,3,2,1,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2358,33,2,3,3,8,0,4,0,5,7,0,2,2,1,6,0,2,7,0,0,0,3,6,0,0,1,1,6,2,4,5,5,2,3,8,1,3,4,2,0,0,3,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2359,9,1,4,2,3,2,4,1,3,7,1,1,1,2,6,3,4,2,3,0,0,4,2,1,3,3,3,2,0,2,7,9,0,0,5,4,2,3,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2360,7,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2361,36,1,2,3,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,1,2,2,5,1,5,4,6,1,3,7,2,3,4,3,1,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2362,36,1,2,5,8,1,4,2,3,3,0,6,5,3,2,2,2,6,2,2,0,3,2,3,1,1,2,4,2,8,1,2,2,5,5,4,7,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2363,38,1,2,4,9,0,3,5,1,5,0,4,4,4,2,2,4,4,1,1,0,3,2,4,2,1,3,3,2,7,2,6,1,2,6,3,0,2,4,3,0,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2364,25,1,4,2,6,0,6,1,2,7,1,2,0,0,9,0,5,4,0,0,0,0,4,5,0,0,5,4,0,9,0,5,2,3,6,3,9,0,0,0,0,2,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,No
2365,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2366,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,No
2367,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2368,33,1,3,3,8,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2369,33,1,3,3,8,0,7,1,2,8,0,1,1,4,4,0,4,5,1,0,0,4,2,2,1,1,3,4,2,0,9,7,1,2,6,3,0,5,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2370,10,1,3,3,3,1,5,1,2,7,1,1,2,4,4,3,4,3,2,1,1,3,2,1,3,2,2,2,2,5,4,0,5,4,4,5,3,3,3,2,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2371,31,1,2,4,7,0,4,0,5,9,0,0,0,7,2,0,0,9,0,0,0,0,5,4,0,0,0,7,2,9,0,5,0,4,9,0,4,4,2,0,0,3,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2372,33,1,2,4,8,2,6,0,1,6,2,2,4,5,0,0,0,9,4,0,0,0,5,0,0,0,3,3,4,3,6,7,0,2,6,3,9,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2373,8,1,3,3,2,0,6,0,3,9,0,0,0,3,6,0,9,0,2,0,2,4,2,0,3,2,3,2,0,0,9,9,0,0,4,5,2,2,6,0,0,4,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
2374,28,7,2,6,6,0,6,2,2,9,0,0,4,2,4,2,1,6,5,2,0,0,3,0,2,1,4,0,4,4,5,6,3,0,0,9,7,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2375,41,1,4,2,10,1,5,1,3,6,1,3,0,3,6,0,2,7,4,0,2,2,0,3,0,2,6,2,0,2,7,6,1,2,6,3,0,0,9,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2376,33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2377,41,1,2,4,10,0,5,2,2,7,1,1,0,6,3,2,0,7,2,2,3,2,1,2,1,1,4,3,1,1,8,8,0,1,5,4,2,4,3,2,0,4,4,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,No
2378,8,1,2,4,2,0,7,0,2,9,0,0,2,5,3,0,4,5,0,0,0,4,1,5,0,0,5,4,1,9,0,7,0,2,5,4,4,4,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2379,20,1,3,3,5,1,4,1,5,6,1,2,1,2,6,1,2,7,1,0,0,4,4,1,1,1,2,6,1,8,1,7,1,2,8,1,3,5,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,No
2380,39,1,2,3,9,1,4,0,4,9,0,0,0,5,4,2,4,3,3,1,1,3,1,2,3,2,1,3,2,1,8,5,4,0,6,3,3,4,2,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2381,3,1,2,4,1,2,7,0,0,6,1,2,2,6,2,0,4,5,3,0,0,5,0,2,1,1,3,4,2,0,9,6,0,3,6,3,4,4,0,2,0,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2382,33,1,2,3,8,0,7,2,0,9,0,0,3,4,3,3,4,3,1,0,0,1,4,4,1,1,5,2,2,2,7,7,0,2,7,2,1,3,4,3,0,7,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2383,23,1,2,3,5,1,4,2,4,3,2,4,4,4,1,1,6,3,1,0,0,4,1,4,1,2,5,3,1,8,1,5,0,4,8,1,6,2,1,0,1,2,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2384,33,1,3,3,8,0,4,1,5,6,2,2,2,4,4,1,3,6,1,1,1,3,3,2,1,2,3,4,1,5,4,6,2,2,8,1,4,4,2,1,1,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2385,38,1,3,2,9,0,6,0,3,5,2,2,2,2,5,0,2,7,0,0,0,2,7,0,0,0,0,9,0,2,7,9,0,0,7,2,0,9,0,0,0,3,4,2,0,0,6,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,No
2386,8,1,3,3,2,1,5,1,3,7,1,2,0,5,4,3,5,1,2,1,0,4,1,2,2,3,4,1,1,2,7,7,0,2,5,4,1,2,5,2,1,6,7,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,No
2387,33,1,4,3,8,0,6,0,3,7,0,2,2,2,6,0,3,6,0,0,0,2,8,0,0,1,2,6,0,2,7,9,0,0,9,0,5,0,4,0,0,4,3,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2388,24,1,2,3,5,1,5,1,3,4,2,4,4,4,2,2,4,4,2,0,0,3,3,3,1,1,2,5,1,7,2,6,0,3,7,2,3,3,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2389,36,1,2,4,8,7,0,0,2,9,0,0,0,7,2,3,4,2,5,0,0,0,0,4,3,2,3,0,2,2,7,7,1,2,4,5,3,5,2,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2390,2,1,2,4,1,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2391,25,1,2,5,6,1,6,1,2,5,1,4,4,3,2,2,5,3,1,0,0,6,1,2,1,2,3,4,2,8,1,6,1,3,4,5,5,3,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2392,41,1,2,4,10,0,5,2,2,7,1,1,0,6,3,2,0,7,2,2,3,2,1,2,1,1,4,3,1,1,8,8,0,1,5,4,2,4,3,2,0,4,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2393,41,1,3,3,10,0,7,0,3,8,1,1,1,3,5,1,4,5,1,1,3,2,3,1,2,1,3,4,0,2,7,5,4,0,6,3,3,4,4,0,0,4,4,0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,No
2394,34,1,5,2,8,0,8,1,0,9,0,0,0,1,8,1,5,4,2,2,0,4,1,2,2,2,2,4,0,0,9,5,4,0,7,2,0,7,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2395,33,1,2,4,8,0,5,2,2,9,0,0,0,6,3,7,0,2,3,5,0,0,0,2,6,0,2,2,0,0,9,9,0,0,2,7,0,2,5,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2396,36,1,3,4,8,1,4,1,4,7,1,2,4,4,2,0,4,5,0,0,0,9,0,0,0,4,0,5,0,7,2,6,2,1,5,4,5,4,0,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No
2397,33,1,2,3,8,0,2,1,7,5,2,3,3,3,5,0,1,8,0,0,0,2,7,1,0,1,1,8,0,5,4,5,4,0,9,0,3,2,5,0,0,3,3,2,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No
2398,41,1,3,2,10,1,5,1,3,6,1,3,0,4,5,0,3,6,1,0,3,3,0,4,0,2,4,3,0,3,6,6,1,2,6,3,0,0,9,0,0,5,4,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,No
2399,33,2,3,3,8,0,9,0,0,9,0,0,0,2,7,0,3,6,3,0,0,2,5,0,2,2,2,5,0,0,9,6,3,0,3,6,0,5,4,0,0,4,3,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2400,13,1,3,2,3,1,7,0,2,7,0,2,1,3,6,3,5,1,6,0,0,2,0,1,6,1,3,1,0,4,5,7,2,1,5,4,1,1,8,0,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2401,8,1,3,3,2,0,6,1,3,8,0,1,0,3,6,3,5,2,1,1,0,5,1,2,1,3,4,2,0,3,6,8,1,0,3,6,2,4,3,2,0,4,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
